trial,coherence,rt,response,correct,v,a
104,0.1,0.8850000000000005,1,True,0.5,1.5
105,0.1,0.5430000000000001,1,True,0.5,1.5
106,0.1,0.5650000000000002,1,True,0.5,1.5
107,0.1,1.1620000000000006,0,False,0.5,1.5
108,0.1,0.8160000000000003,0,False,0.5,1.5
109,0.1,0.9500000000000004,1,True,0.5,1.5
110,0.1,1.2130000000000007,0,False,0.5,1.5
111,0.1,0.4040000000000001,0,False,0.5,1.5
112,0.1,1.6279999999999646,1,True,0.5,1.5
113,0.1,1.2660000000000007,1,True,0.5,1.5
114,0.1,0.7700000000000004,0,False,0.5,1.5
115,0.1,0.6410000000000002,0,False,0.5,1.5
116,0.1,0.8140000000000003,1,True,0.5,1.5
117,0.1,0.6150000000000002,1,True,0.5,1.5
118,0.1,1.5229999999999762,1,True,0.5,1.5
119,0.1,0.4150000000000001,1,True,0.5,1.5
120,0.1,0.7760000000000004,1,True,0.5,1.5
121,0.1,0.8050000000000004,0,False,0.5,1.5
122,0.1,0.5380000000000001,1,True,0.5,1.5
123,0.1,0.5380000000000001,1,True,0.5,1.5
124,0.1,1.1040000000000005,1,True,0.5,1.5
125,0.1,1.2570000000000008,1,True,0.5,1.5
126,0.1,0.4220000000000001,0,False,0.5,1.5
127,0.1,0.9590000000000005,1,True,0.5,1.5
128,0.1,0.5610000000000002,0,False,0.5,1.5
129,0.1,0.43100000000000005,1,True,0.5,1.5
130,0.1,1.8169999999999438,0,False,0.5,1.5
131,0.1,0.8420000000000003,0,False,0.5,1.5
132,0.1,0.8190000000000004,1,True,0.5,1.5
133,0.1,0.4190000000000001,1,True,0.5,1.5
134,0.1,0.5100000000000001,1,True,0.5,1.5
135,0.1,1.1280000000000006,0,False,0.5,1.5
136,0.1,0.44600000000000006,1,True,0.5,1.5
137,0.1,2.5119999999998672,1,True,0.5,1.5
138,0.1,1.3309999999999973,1,True,0.5,1.5
139,0.1,0.5130000000000001,1,True,0.5,1.5
140,0.1,1.1050000000000006,0,False,0.5,1.5
141,0.1,0.7540000000000003,1,True,0.5,1.5
142,0.1,1.1230000000000007,1,True,0.5,1.5
143,0.1,0.5240000000000001,0,False,0.5,1.5
144,0.1,0.4190000000000001,1,True,0.5,1.5
145,0.1,0.4890000000000001,1,True,0.5,1.5
146,0.1,1.7389999999999524,1,True,0.5,1.5
147,0.1,2.6159999999998558,0,False,0.5,1.5
148,0.1,1.3459999999999956,0,False,0.5,1.5
149,0.1,0.8700000000000003,1,True,0.5,1.5
150,0.1,0.5410000000000001,0,False,0.5,1.5
151,0.1,0.6980000000000003,1,True,0.5,1.5
152,0.1,0.5480000000000002,0,False,0.5,1.5
153,0.1,1.2120000000000006,0,False,0.5,1.5
154,0.1,0.5020000000000001,1,True,0.5,1.5
155,0.1,1.2430000000000008,1,True,0.5,1.5
156,0.1,0.5100000000000001,0,False,0.5,1.5
157,0.1,0.4740000000000001,1,True,0.5,1.5
158,0.1,0.8340000000000003,1,True,0.5,1.5
159,0.1,0.5600000000000002,1,True,0.5,1.5
160,0.1,1.3099999999999996,1,True,0.5,1.5
161,0.1,0.7560000000000003,1,True,0.5,1.5
162,0.1,1.3589999999999942,1,True,0.5,1.5
163,0.1,1.2810000000000008,1,True,0.5,1.5
164,0.1,0.5950000000000002,1,True,0.5,1.5
165,0.1,0.5760000000000002,1,True,0.5,1.5
166,0.1,0.7650000000000003,0,False,0.5,1.5
167,0.1,1.1680000000000006,1,True,0.5,1.5
168,0.1,0.5930000000000002,0,False,0.5,1.5
169,0.1,1.0320000000000005,0,False,0.5,1.5
170,0.1,0.7080000000000003,1,True,0.5,1.5
171,0.1,1.387999999999991,1,True,0.5,1.5
172,0.1,1.2860000000000007,1,True,0.5,1.5
173,0.1,0.6710000000000003,0,False,0.5,1.5
174,0.1,1.2600000000000007,1,True,0.5,1.5
175,0.1,0.5910000000000002,1,True,0.5,1.5
176,0.1,0.4580000000000001,1,True,0.5,1.5
177,0.1,0.9590000000000005,1,True,0.5,1.5
178,0.1,3.693999999999737,1,True,0.5,1.5
179,0.1,1.0940000000000005,1,True,0.5,1.5
180,0.1,0.9110000000000005,1,True,0.5,1.5
181,0.1,0.4840000000000001,1,True,0.5,1.5
182,0.1,0.4620000000000001,0,False,0.5,1.5
183,0.1,0.5270000000000001,1,True,0.5,1.5
184,0.1,1.0210000000000006,1,True,0.5,1.5
185,0.1,0.9510000000000005,1,True,0.5,1.5
186,0.1,1.2840000000000007,0,False,0.5,1.5
187,0.1,0.9410000000000005,1,True,0.5,1.5
188,0.1,1.0090000000000006,1,True,0.5,1.5
189,0.1,0.4770000000000001,1,True,0.5,1.5
190,0.1,0.7110000000000003,0,False,0.5,1.5
191,0.1,0.35500000000000004,0,False,0.5,1.5
192,0.1,0.5880000000000002,1,True,0.5,1.5
193,0.1,0.7280000000000003,0,False,0.5,1.5
194,0.1,0.8130000000000004,1,True,0.5,1.5
195,0.1,0.9210000000000005,1,True,0.5,1.5
196,0.1,0.6260000000000002,0,False,0.5,1.5
197,0.1,0.7620000000000003,1,True,0.5,1.5
198,0.1,0.8780000000000003,1,True,0.5,1.5
199,0.1,0.38400000000000006,1,True,0.5,1.5
200,0.1,0.3960000000000001,1,True,0.5,1.5
201,0.1,0.5090000000000001,1,True,0.5,1.5
202,0.1,1.1850000000000007,0,False,0.5,1.5
203,0.1,0.7550000000000003,1,True,0.5,1.5
204,0.1,1.2120000000000006,0,False,0.5,1.5
205,0.1,1.0430000000000006,0,False,0.5,1.5
206,0.1,0.7620000000000003,1,True,0.5,1.5
207,0.1,0.7680000000000003,1,True,0.5,1.5
208,0.1,0.4140000000000001,1,True,0.5,1.5
209,0.1,0.7850000000000004,1,True,0.5,1.5
210,0.1,0.3950000000000001,0,False,0.5,1.5
211,0.1,0.7750000000000004,1,True,0.5,1.5
212,0.1,0.5150000000000001,1,True,0.5,1.5
213,0.1,0.9090000000000005,1,True,0.5,1.5
214,0.1,0.6450000000000002,1,True,0.5,1.5
215,0.1,0.7300000000000003,1,True,0.5,1.5
216,0.1,0.4630000000000001,1,True,0.5,1.5
217,0.1,0.9080000000000004,0,False,0.5,1.5
218,0.1,0.5570000000000002,1,True,0.5,1.5
219,0.1,1.5359999999999747,0,False,0.5,1.5
220,0.1,1.306,0,False,0.5,1.5
221,0.1,0.5910000000000002,1,True,0.5,1.5
222,0.1,0.8910000000000005,1,True,0.5,1.5
223,0.1,0.39100000000000007,0,False,0.5,1.5
224,0.1,0.9450000000000005,1,True,0.5,1.5
225,0.1,0.5210000000000001,0,False,0.5,1.5
226,0.1,1.0210000000000006,1,True,0.5,1.5
227,0.1,0.4670000000000001,0,False,0.5,1.5
228,0.1,0.39200000000000007,0,False,0.5,1.5
229,0.1,0.43500000000000005,1,True,0.5,1.5
230,0.1,0.9360000000000004,1,True,0.5,1.5
231,0.1,0.9550000000000005,1,True,0.5,1.5
232,0.1,1.8369999999999416,1,True,0.5,1.5
233,0.1,0.9610000000000005,1,True,0.5,1.5
234,0.1,0.8520000000000003,1,True,0.5,1.5
235,0.1,0.8450000000000004,0,False,0.5,1.5
236,0.1,1.496999999999979,0,False,0.5,1.5
237,0.1,1.3779999999999921,1,True,0.5,1.5
238,0.1,0.6140000000000002,0,False,0.5,1.5
239,0.1,0.6570000000000003,1,True,0.5,1.5
240,0.1,0.5390000000000001,1,True,0.5,1.5
241,0.1,1.2070000000000007,0,False,0.5,1.5
242,0.1,0.6750000000000003,1,True,0.5,1.5
243,0.1,1.2870000000000008,1,True,0.5,1.5
244,0.1,0.8340000000000003,1,True,0.5,1.5
245,0.1,0.4710000000000001,1,True,0.5,1.5
246,0.1,1.1230000000000007,1,True,0.5,1.5
247,0.1,0.5570000000000002,1,True,0.5,1.5
248,0.1,0.6260000000000002,0,False,0.5,1.5
249,0.1,1.441999999999985,1,True,0.5,1.5
