rt,correct,model,final_boundary
648.0000000000001,1,Classical DDM,
803.0000000000003,1,Classical DDM,
827.0000000000005,1,Classical DDM,
2179.999999999909,1,Classical DDM,
4086.9999999996994,1,Classical DDM,
1653.999999999967,1,Classical DDM,
1139.0000000000007,1,Classical DDM,
599.0000000000002,1,Classical DDM,
867.0000000000003,0,Classical DDM,
958.0000000000005,1,Classical DDM,
517.0000000000001,1,Classical DDM,
1332.0000000000007,1,Classical DDM,
723.0000000000003,0,Classical DDM,
648.0000000000001,1,Classical DDM,
493.0000000000001,1,Classical DDM,
448.00000000000006,0,Classical DDM,
539.0000000000001,0,Classical DDM,
1046.0000000000005,1,Classical DDM,
1377.9999999999975,1,Classical DDM,
832.0000000000003,1,Classical DDM,
2041.9999999999243,1,Classical DDM,
3369.9999999997785,0,Classical DDM,
474.0000000000001,0,Classical DDM,
1860.9999999999443,0,Classical DDM,
1398.9999999999952,1,Classical DDM,
972.0000000000005,0,Classical DDM,
1311.000000000001,1,Classical DDM,
643.0000000000002,1,Classical DDM,
935.0000000000003,1,Classical DDM,
662.0000000000001,1,Classical DDM,
472.0000000000001,1,Classical DDM,
778.0000000000002,1,Classical DDM,
1275.000000000001,0,Classical DDM,
1035.0000000000007,1,Classical DDM,
1018.0000000000005,0,Classical DDM,
1863.9999999999438,0,Classical DDM,
566.0000000000001,1,Classical DDM,
585.0000000000002,0,Classical DDM,
923.0000000000003,1,Classical DDM,
888.0000000000003,1,Classical DDM,
1048.0000000000005,1,Classical DDM,
1464.999999999988,1,Classical DDM,
666.0000000000001,1,Classical DDM,
616.0000000000001,1,Classical DDM,
3068.9999999998117,0,Classical DDM,
712.0000000000002,1,Classical DDM,
1927.9999999999368,1,Classical DDM,
977.0000000000005,1,Classical DDM,
1274.0000000000007,1,Classical DDM,
643.0000000000002,0,Classical DDM,
766.0000000000002,1,Classical DDM,
1170.0000000000007,1,Classical DDM,
499.0000000000001,1,Classical DDM,
1078.0000000000005,1,Classical DDM,
591.0000000000002,1,Classical DDM,
685.0000000000002,1,Classical DDM,
557.0000000000001,1,Classical DDM,
